词语	词频	词性
the	21142	英文
to	15124	英文
covid19	10672	英文
of	9999	英文
and	9851	英文
in	8393	英文
is	6277	英文
for	6224	英文
this	5776	英文
it	4994	英文
you	4735	英文
on	4185	英文
are	3947	英文
we	3719	英文
have	3660	英文
that	3527	英文
be	3420	英文
with	3339	英文
coronavirus	2960	英文
not	2624	英文
all	2606	英文
at	2524	英文
from	2490	英文
as	2449	英文
amp	2231	英文
my	2181	英文
people	2151	英文
vaccine	2100	英文
so	2089	英文
can	1997	英文
has	1951	英文
but	1946	英文
they	1904	英文
our	1894	英文
will	1858	英文
if	1797	英文
uk	1738	英文
by	1716	英文
your	1590	英文
what	1527	英文
just	1524	英文
who	1494	英文
been	1457	英文
more	1437	英文
out	1404	英文
was	1392	英文
now	1391	英文
about	1390	英文
covid	1361	英文
get	1351	英文
no	1298	英文
do	1273	英文
or	1247	英文
how	1242	英文
up	1238	英文
lockdown	1177	英文
an	1162	英文
their	1156	英文
there	1147	英文
one	1143	英文
new	1141	英文
had	1084	英文
us	1014	英文
when	996	英文
he	992	英文
government	969	英文
news	967	英文
pandemic	953	英文
well	944	英文
like	936	英文
today	930	英文
me	912	英文
please	904	英文
nhs	891	英文
time	886	英文
why	878	英文
don	848	英文
year	840	英文
first	838	英文
vaccination	833	英文
should	829	英文
need	826	英文
still	809	英文
over	791	英文
work	785	英文
good	779	英文
see	775	英文
very	765	英文
than	762	英文
ve	752	英文
great	749	英文
cases	740	英文
day	729	英文
help	729	英文
many	726	英文
some	721	英文
being	718	英文
would	716	英文
after	709	英文
going	704	英文
re	687	英文
only	671	英文
know	661	英文
here	661	英文
go	649	英文
his	629	英文
back	626	英文
support	623	英文
them	622	英文
last	616	英文
health	615	英文
borisjohnson	610	英文
these	608	英文
staff	607	英文
really	595	英文
those	595	英文
during	589	英文
deaths	583	英文
done	569	英文
home	568	英文
even	565	英文
think	561	英文
could	556	英文
safe	549	英文
then	541	英文
world	540	英文
virus	537	英文
were	519	英文
any	516	英文
take	514	英文
thank	514	英文
other	510	英文
into	490	英文
week	489	英文
because	488	英文
test	483	英文
again	483	英文
hope	477	英文
too	477	英文
everyone	472	英文
another	467	英文
via	464	英文
much	458	英文
which	455	英文
care	448	英文
keep	447	英文
down	445	英文
positive	445	英文
got	445	英文
let	444	英文
due	439	英文
before	437	英文
its	427	英文
her	427	英文
stay	426	英文
make	424	英文
vaccines	416	英文
getting	409	英文
right	402	英文
important	401	英文
most	398	英文
london	397	英文
way	397	英文
risk	396	英文
days	396	英文
off	395	英文
did	387	英文
doing	385	英文
say	381	英文
schools	381	英文
working	378	英文
where	377	英文
ll	375	英文
want	374	英文
also	372	英文
patients	367	英文
team	364	英文
she	362	英文
thanks	361	英文
country	360	英文
christmas	358	英文
testing	354	英文
through	350	英文
every	348	英文
public	347	英文
spread	346	英文
open	346	英文
hospital	345	英文
may	341	英文
next	340	英文
must	340	英文
family	336	英文
yet	334	英文
school	334	英文
against	328	英文
community	327	英文
restrictions	325	英文
part	325	英文
anyone	322	英文
variant	316	英文
look	316	英文
covid19uk	316	英文
end	314	英文
come	313	英文
same	311	英文
death	311	英文
amazing	306	英文
since	304	英文
stop	304	英文
matthancock	303	英文
jab	302	英文
read	301	英文
am	300	英文
said	298	英文
daily	298	英文
boris	297	英文
petition	297	英文
better	296	英文
feel	296	英文
rules	294	英文
does	293	英文
never	292	英文
children	291	英文
lives	290	英文
life	289	英文
such	287	英文
england	285	英文
having	285	英文
months	284	英文
around	281	英文
best	280	英文
2021	278	数词
local	278	英文
full	276	英文
travel	273	英文
start	272	英文
love	272	英文
long	271	英文
johnson	266	英文
vaccinated	265	英文
workers	263	英文
made	262	英文
live	257	英文
brexit	256	英文
weeks	252	英文
2020	252	数词
looking	250	英文
number	250	英文
doesn	249	英文
sure	249	英文
give	248	英文
million	248	英文
data	248	英文
him	247	英文
tier	246	英文
died	244	英文
isn	239	英文
years	239	英文
under	238	英文
dose	237	英文
sign	237	英文
times	234	英文
enough	234	英文
won	232	英文
put	232	英文
given	232	英文
morning	231	英文
says	227	英文
protect	227	英文
until	225	英文
far	224	英文
social	223	英文
symptoms	223	英文
happy	222	英文
mask	222	英文
scotland	222	英文
proud	221	英文
always	220	英文
man	220	英文
thing	220	英文
latest	219	英文
impact	218	英文
few	217	英文
sad	217	英文
coming	216	英文
follow	216	英文
rate	216	英文
without	215	英文
away	214	英文
across	212	英文
others	212	英文
didn	211	英文
face	211	英文
ever	211	英文
hard	210	英文
hear	210	英文
lot	209	英文
friends	209	英文
march	208	英文
use	208	英文
soon	207	英文
already	207	英文
things	206	英文
forward	206	英文
needs	206	英文
countries	205	英文
eu	203	英文
two	201	英文
vaccinations	201	英文
10	201	数词
strain	200	英文
little	200	英文
big	199	英文
south	198	英文
something	198	英文
tests	197	英文
yes	197	英文
old	197	英文
place	195	英文
teachers	195	英文
fantastic	194	英文
able	194	英文
absolutely	194	英文
real	193	英文
lost	193	英文
thread	192	英文
national	192	英文
share	191	英文
oh	190	英文
own	190	英文
bit	190	英文
job	190	英文
sir	190	英文
watch	189	英文
seen	189	英文
second	189	英文
free	188	英文
someone	187	英文
ago	187	英文
thought	186	英文
tested	186	英文
covidvaccine	186	英文
call	185	英文
believe	184	英文
both	183	英文
infection	183	英文
show	182	英文
bbc	182	英文
case	181	英文
research	180	英文
update	180	英文
response	179	英文
together	179	英文
find	178	英文
might	177	英文
high	177	英文
vulnerable	176	英文
actually	174	英文
interesting	174	英文
centre	174	英文
nothing	173	英文
bad	173	英文
wales	173	英文
per	172	英文
population	172	英文
each	170	英文
numbers	170	英文
tomorrow	170	英文
making	170	英文
online	169	英文
continue	169	英文
january	168	英文
taking	167	英文
everything	165	英文
remember	164	英文
rates	163	英文
though	163	英文
tell	163	英文
following	162	英文
masks	161	英文
hospitals	161	英文
point	161	英文
rest	161	英文
while	160	英文
100000	160	数词
brilliant	159	英文
evidence	159	英文
control	158	英文
