词语	词频	词性
covid19	2763	英文
coronavirus	1051	英文
lockdown	535	英文
government	329	英文
covid	326	英文
pandemic	197	英文
health	188	英文
support	182	英文
restrictions	174	英文
petition	166	英文
lockdown2	161	英文
borisjohnson	158	英文
safe	153	英文
england	147	英文
nhs	141	英文
boris	133	英文
care	132	英文
deaths	129	英文
virus	128	英文
positive	128	英文
schools	116	英文
trump	113	英文
tier	113	英文
weeks	109	英文
london	109	英文
days	108	英文
staff	100	英文
national	100	英文
spread	97	英文
local	95	英文
country	94	英文
children	90	英文
testing	89	英文
risk	86	英文
rules	86	英文
times	86	英文
johnson	86	英文
lives	82	英文
flu	78	英文
patients	78	英文
months	77	英文
covid19uk	76	英文
app	75	英文
family	73	英文
daily	72	英文
social	72	英文
sign	72	英文
love	72	英文
hospital	71	英文
sad	71	英文
share	69	英文
business	68	英文
bbc	68	英文
infection	66	英文
vote	65	英文
death	65	英文
vaccine	64	英文
update	64	英文
money	64	英文
community	63	英文
wales	63	英文
ball	63	英文
christmas	62	英文
tests	62	英文
mask	61	英文
died	61	英文
team	61	英文
rate	60	英文
mental	60	英文
absolutely	59	英文
crisis	59	英文
wave	59	英文
list	59	英文
response	58	英文
measures	57	英文
data	57	英文
trace	57	英文
hold	56	英文
tory	56	英文
scotland	54	英文
amazing	54	英文
symptoms	54	英文
wrong	53	英文
lockdownuk	53	英文
agree	52	英文
food	52	英文
fuck	52	英文
happy	52	英文
golf	52	英文
businesses	51	英文
guidance	51	英文
article	51	英文
remember	50	英文
masks	50	英文
brilliant	50	英文
march	50	英文
house	49	英文
online	49	英文
vulnerable	48	英文
advice	48	英文
control	48	英文
exempt	48	英文
increase	48	英文
bobby	48	英文
realdonaldtrump	47	英文
worth	47	英文
shit	47	英文
kids	47	英文
rise	47	英文
bad	47	英文
brexit	46	英文
poor	46	英文
confirmed	46	英文
friends	46	英文
contracts	46	英文
media	46	英文
morning	46	英文
fucking	46	英文
lost	45	英文
families	45	英文
halloween	45	英文
winter	44	英文
jobs	44	英文
fight	44	英文
inquiry	44	英文
change	44	英文
football	43	英文
protect	43	英文
pay	43	英文
continue	43	英文
thread	43	英文
liverpool	43	英文
figures	42	英文
tories	42	英文
person	42	英文
term	41	英文
staysafe	41	英文
science	41	英文
venues	41	英文
courses	41	英文
travel	40	英文
tested	40	英文
fantastic	40	英文
action	40	英文
thinking	39	英文
surely	39	英文
closed	39	英文
students	39	英文
huge	39	英文
economy	38	英文
rest	38	英文
rates	38	英文
covidiots	38	英文
govt	38	英文
idea	37	英文
bbcnews	37	英文
break	37	英文
safety	37	英文
wear	37	英文
minister	37	英文
loved	37	英文
hospitals	37	英文
situation	37	英文
visit	36	英文
nice	36	英文
hands	36	英文
talking	36	英文
city	36	英文
piersmorgan	36	英文
labour	36	英文
coronavirusuk	36	英文
policy	35	英文
aged	35	英文
coviduk	35	英文
